Sección 2.3.1 -> Semilla 2

learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,0.757429,6.53226008411083E-8,100000.0,89.717,79.4350879496552,79.32566649242028,78.58778943861402,100000.0,333368.0,169.0,85.0,85.0,12.0,0.0,0.0,1.0
200000.0,1.267747,1.5499033459979627E-7,200000.0,86.25500000000001,72.51064541980726,72.45408178602564,71.4089590115342,200000.0,679200.0,345.0,173.0,173.0,12.0,0.0,0.0,1.0
300000.0,1.711095,2.674074063760539E-7,300000.0,85.68666666666667,71.41289096145691,71.3590128397532,70.2274886117024,300000.0,980144.0,499.0,250.0,250.0,14.0,0.0,0.0,1.0
400000.0,2.164004,4.10772152358873E-7,400000.0,84.75399999999999,69.53684750873573,69.47732471133489,68.27649347676812,400000.0,1223584.0,619.0,310.0,310.0,14.0,0.0,0.0,1.0
500000.0,2.62809,5.904453368174533E-7,500000.0,82.9476,65.88678301946264,65.87841217879196,64.4945822818546,500000.0,1496536.0,761.0,381.0,381.0,15.0,0.0,0.0,1.0
600000.0,3.111437,8.117000329763525E-7,600000.0,82.69216666666667,65.36833115198962,65.3414722873954,63.97666133614545,600000.0,1769440.0,895.0,448.0,448.0,15.0,0.0,0.0,1.0
700000.0,3.628059,1.0829239036370482E-6,700000.0,81.56714285714285,63.10175999373362,63.104031019721894,61.65470512191861,700000.0,2029352.0,1027.0,514.0,514.0,15.0,0.0,0.0,1.0
800000.0,4.145783,1.3858379440485603E-6,800000.0,80.49775,60.944111254584755,60.962708675287246,59.41808080072415,800000.0,2261640.0,1147.0,574.0,574.0,15.0,0.0,0.0,1.0
900000.0,4.654878,1.7246524326606755E-6,900000.0,80.20811111111111,60.3625421996555,60.376686960989964,58.81799434035548,900000.0,2572560.0,1301.0,651.0,651.0,16.0,0.0,0.0,1.0
1000000.0,5.273403,2.175397137935377E-6,1000000.0,79.6246,59.17530902069852,59.20391634714534,57.571580284447045,1000000.0,2816928.0,1431.0,716.0,716.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1100000.0,5.774205,2.5783054231210717E-6,1100000.0,79.30181818181819,58.52428630166451,58.560011357410815,56.89886908750849,1100000.0,3109872.0,1573.0,787.0,787.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1200000.0,6.260187,2.997165126661874E-6,1200000.0,79.065,58.03884577567167,58.08256343428646,56.390867808190634,1200000.0,3331584.0,1687.0,844.0,844.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1300000.0,6.786034,3.4834364391076898E-6,1300000.0,78.55623076923078,57.00816075286741,57.063315548874414,55.338578589932766,1300000.0,3574552.0,1803.0,902.0,902.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1400000.0,7.338615,4.034526357307203E-6,1400000.0,78.51685714285715,56.926968162355415,56.999129299708194,55.24771450338063,1400000.0,3855040.0,1953.0,977.0,977.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1500000.0,7.891238,4.62492178560959E-6,1500000.0,78.37906666666666,56.644490343437795,56.7100526317897,54.96139317853571,1500000.0,4129680.0,2083.0,1042.0,1042.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1600000.0,8.465459,5.272414482904392E-6,1600000.0,78.179625,56.23409782027282,56.29757495265192,54.52827411769149,1600000.0,4358712.0,2211.0,1106.0,1106.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1700000.0,8.982121,5.888243385985908E-6,1700000.0,78.1484705882353,56.173794235775134,56.237320961969374,54.45851165949684,1700000.0,4607400.0,2331.0,1166.0,1166.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1800000.0,9.509282,6.546301338743005E-6,1800000.0,77.8921111111111,55.65427189668869,55.72440096841954,53.90204262249885,1800000.0,4825288.0,2439.0,1220.0,1220.0,17.0,3806.2346368715084,0.0,1.0336349065631807
